2025-08-03 11:06:34,089 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:08:04,195 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:08:04 ---


2025-08-03 11:08:04,269 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:08:04,346 | INFO     | __main__ | Application démarrée
2025-08-03 11:08:04,566 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:08:04,568 | INFO     | __main__ | Chargement cache local : 0.22 sec
2025-08-03 11:08:05,136 | INFO     | __main__ | Initialisation UI : 0.56 sec
2025-08-03 11:08:05,152 | INFO     | __main__ | Temps total d'ouverture : 0.88 sec
2025-08-03 11:08:06,061 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:08:06,061 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:06:28.346155+00:00
2025-08-03 11:08:06,061 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:08:06,840 | INFO     | __main__ | Changement d'écran vers : tous_les_semestres
2025-08-03 11:08:06,856 | INFO     | __main__ | Affichage du semestre all
2025-08-03 11:08:16,323 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:08:16 ---


2025-08-03 11:08:16,393 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:08:16,467 | INFO     | __main__ | Application démarrée
2025-08-03 11:08:16,685 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:08:16,687 | INFO     | __main__ | Chargement cache local : 0.22 sec
2025-08-03 11:08:17,322 | INFO     | __main__ | Initialisation UI : 0.63 sec
2025-08-03 11:08:17,336 | INFO     | __main__ | Temps total d'ouverture : 0.94 sec
2025-08-03 11:08:18,025 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:08:18,026 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:06:28.346155+00:00
2025-08-03 11:08:18,026 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:08:18,678 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 11:08:18,678 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 11:08:19,266 | INFO     | __main__ | Changement d'écran vers : tous_les_semestres
2025-08-03 11:08:19,284 | INFO     | __main__ | Affichage du semestre all
2025-08-03 11:10:34,478 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:10:34 ---


2025-08-03 11:10:34,550 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:10:34,624 | INFO     | __main__ | Application démarrée
2025-08-03 11:10:34,850 | INFO     | services.notion_client | Client Notion initialisé
